student_id,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status
1,6.64,6.91,6.8,Stable,24,19,144,117,81.25,6.81,36,79.74,Low,2025-08-16,20,Very Late,0,0,0,6,0,0,Average,No
2,5.07,5.22,5.16,Stable,20,16,140,114,81.43,4.79,36,67.78,Low,2025-07-27,0,On Time,1,1,2,7,0,0,Below Average,No
3,5.72,5.72,5.72,Stable,22,15,44,31,70.45,5.72,15,91.16,Medium,2025-07-27,0,On Time,0,0,0,2,0,0,Average,No
4,4.58,5.96,5.41,Declining,20,16,140,117,83.57,4.43,42,84.43,Low,2025-07-27,0,On Time,2,0,2,7,0,0,Below Average,No
5,6.0,6.59,6.35,Declining,24,20,144,121,84.03,5.7,44,85.42,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Average,No
6,4.9,5.59,5.31,Declining,24,18,168,127,75.6,4.78,42,82.31,Low,2025-07-30,3,Late,0,0,0,7,1,1,Below Average,No
7,5.16,6.46,5.94,Declining,18,15,126,105,83.33,5.23,42,71.77,Low,2025-07-27,0,On Time,0,0,0,7,1,0,Average,No
8,5.87,5.71,5.77,Stable,24,20,168,141,83.93,5.18,38,92.45,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Average,No
9,6.85,8.18,7.65,Declining,18,16,72,64,88.89,7.17,42,84.18,Low,2025-07-30,3,Late,0,0,0,4,0,0,Good,No
10,6.98,,6.98,Stable,20,17,20,17,85.0,6.98,17,80.88,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No
11,4.06,4.95,4.59,Declining,24,18,48,37,77.08,4.06,18,87.81,High,2025-07-27,0,On Time,1,0,1,2,2,0,Below Average,Yes
12,6.11,5.47,5.73,Improving,22,13,44,27,61.36,6.11,13,62.66,Medium,2025-07-28,1,On Time,2,0,2,2,0,0,Average,No
13,8.35,,8.35,Stable,22,21,22,21,95.45,8.35,21,91.89,Low,2025-07-27,0,On Time,0,0,0,1,0,0,Good,No
14,7.22,6.02,6.5,Improving,24,21,144,130,90.28,6.61,40,78.13,Low,2025-07-27,0,On Time,2,0,2,6,1,0,Average,No
15,7.47,7.37,7.41,Stable,24,20,72,60,83.33,7.82,36,71.52,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
16,6.59,7.59,7.19,Declining,18,16,36,32,88.89,6.59,16,83.83,Medium,2025-07-27,0,On Time,0,0,0,2,1,1,Good,No
17,5.91,7.3,6.74,Declining,22,19,132,118,89.39,7.03,40,80.8,Low,2025-07-28,1,On Time,0,0,0,6,2,2,Average,No
18,6.9,7.14,7.04,Stable,22,19,66,59,89.39,6.26,38,88.99,Low,2025-07-29,2,On Time,0,0,0,3,0,0,Good,No
19,6.99,6.07,6.44,Improving,18,15,90,76,84.44,6.02,40,93.04,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Average,No
20,6.1,,6.1,Improving,22,18,22,18,81.82,6.1,18,60.17,Medium,2025-07-27,0,On Time,0,0,0,1,0,0,Average,No
21,8.38,8.3,8.33,Stable,22,21,154,153,99.35,8.31,36,70.21,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
22,4.91,6.12,5.64,Declining,18,11,90,58,64.44,5.72,42,90.35,Low,2025-07-27,0,On Time,0,0,0,5,1,1,Average,No
