student_id,visit_date,activity,book_title,duration_hours,checkout_date,return_date
662,2025-11-13,Book Borrowed,Data Structures and Algorithms,,2025-11-13,
662,2025-11-07,Book Returned,Artificial Intelligence,,,2025-11-26
662,2025-11-08,Reading Session,,3.0,,
662,2025-11-04,Book Borrowed,Machine Learning,,2025-11-04,
662,2025-11-01,Book Returned,Digital Electronics,,,2025-11-19
662,2025-11-30,Book Returned,Physics Vol 1,,,2025-12-09
662,2025-10-13,Book Borrowed,Control Systems,,2025-10-13,
662,2025-11-25,Reading Session,,4.0,,
662,2025-11-23,Book Returned,Physics Vol 1,,,2025-12-04
662,2025-10-10,Book Returned,Operating Systems,,,2025-10-25
132,2025-09-02,Book Borrowed,Digital Electronics,,2025-09-02,
132,2025-11-18,Reading Session,,3.0,,
132,2025-10-08,Book Borrowed,Data Structures and Algorithms,,2025-10-08,
132,2025-09-29,Book Borrowed,Physics Vol 1,,2025-09-29,
132,2025-11-07,Book Returned,Advanced Mathematics,,,2025-11-23
132,2025-09-03,Book Returned,Machine Learning,,,2025-09-21
132,2025-11-16,Reading Session,,3.0,,
132,2025-11-24,Book Borrowed,Power Systems,,2025-11-24,
132,2025-11-01,Book Returned,Database Management Systems,,,2025-11-08
57,2025-09-24,Book Returned,Digital Electronics,,,2025-10-11
57,2025-11-12,Reading Session,,1.0,,
57,2025-11-20,Reading Session,,2.0,,
57,2025-10-27,Book Returned,Computer Networks,,,2025-11-03
57,2025-10-22,Book Borrowed,Operating Systems,,2025-10-22,
57,2025-11-24,Reading Session,,2.0,,
57,2025-09-02,Reading Session,,1.0,,
57,2025-10-07,Book Returned,Digital Electronics,,,2025-10-28
57,2025-10-01,Reading Session,,4.0,,
57,2025-09-12,Book Returned,Digital Electronics,,,2025-09-22
57,2025-10-16,Book Borrowed,Introduction to Algorithms,,2025-10-16,
57,2025-09-15,Reading Session,,3.0,,
57,2025-09-16,Book Returned,Introduction to Algorithms,,,2025-09-28
57,2025-10-15,Book Borrowed,Digital Electronics,,2025-10-15,
57,2025-09-08,Book Borrowed,Control Systems,,2025-09-08,
57,2025-09-29,Reading Session,,4.0,,
686,2025-09-19,Book Returned,Artificial Intelligence,,,2025-10-06
686,2025-11-25,Book Returned,Database Management Systems,,,2025-12-13
686,2025-09-20,Book Borrowed,Operating Systems,,2025-09-20,
686,2025-09-10,Reading Session,,4.0,,
686,2025-09-17,Book Borrowed,Physics Vol 1,,2025-09-17,
686,2025-10-11,Book Returned,Operating Systems,,,2025-10-27
686,2025-09-10,Reading Session,,4.0,,
686,2025-10-05,Reading Session,,4.0,,
686,2025-11-17,Book Borrowed,Power Systems,,2025-11-17,
686,2025-11-30,Reading Session,,1.0,,
686,2025-11-27,Book Returned,Introduction to Algorithms,,,2025-12-15
686,2025-10-24,Reading Session,,4.0,,
686,2025-10-09,Reading Session,,4.0,,
686,2025-11-16,Book Borrowed,Physics Vol 1,,2025-11-16,
686,2025-09-01,Book Returned,Introduction to Algorithms,,,2025-09-14
686,2025-09-27,Book Returned,Chemistry Fundamentals,,,2025-10-18
719,2025-10-18,Book Returned,Artificial Intelligence,,,2025-11-07
719,2025-10-26,Book Borrowed,Software Engineering,,2025-10-26,
719,2025-11-09,Book Returned,Advanced Mathematics,,,2025-11-16
719,2025-09-10,Reading Session,,1.0,,
719,2025-09-16,Book Returned,Digital Electronics,,,2025-09-25
719,2025-11-03,Book Borrowed,Physics Vol 1,,2025-11-03,
719,2025-11-05,Book Borrowed,Introduction to Algorithms,,2025-11-05,
719,2025-11-26,Book Returned,Control Systems,,,2025-12-08
719,2025-11-12,Reading Session,,2.0,,
719,2025-11-09,Book Returned,Data Structures and Algorithms,,,2025-11-17
719,2025-11-12,Book Returned,Artificial Intelligence,,,2025-11-23
719,2025-09-10,Book Returned,Database Management Systems,,,2025-09-24
719,2025-10-05,Book Borrowed,Physics Vol 1,,2025-10-05,
719,2025-11-07,Reading Session,,2.0,,
719,2025-11-23,Book Returned,Software Engineering,,,2025-12-02
630,2025-10-28,Reading Session,,3.0,,
630,2025-10-17,Book Returned,Data Structures and Algorithms,,,2025-11-05
630,2025-11-11,Book Returned,Control Systems,,,2025-11-27
630,2025-09-22,Book Returned,Operating Systems,,,2025-10-06
630,2025-11-01,Book Borrowed,Operating Systems,,2025-11-01,
630,2025-08-30,Reading Session,,3.0,,
630,2025-10-08,Book Returned,Introduction to Algorithms,,,2025-10-24
630,2025-10-26,Reading Session,,4.0,,
758,2025-09-03,Reading Session,,2.0,,
758,2025-10-20,Reading Session,,4.0,,
758,2025-09-20,Book Borrowed,Control Systems,,2025-09-20,
758,2025-11-14,Reading Session,,4.0,,
758,2025-10-27,Book Borrowed,Advanced Mathematics,,2025-10-27,
758,2025-11-22,Book Borrowed,Power Systems,,2025-11-22,
758,2025-10-03,Book Borrowed,Software Engineering,,2025-10-03,
758,2025-09-22,Reading Session,,2.0,,
758,2025-10-10,Book Borrowed,Operating Systems,,2025-10-10,
758,2025-11-24,Book Borrowed,Computer Networks,,2025-11-24,
758,2025-09-29,Book Returned,Computer Networks,,,2025-10-17
758,2025-11-27,Book Returned,Chemistry Fundamentals,,,2025-12-11
758,2025-10-09,Reading Session,,1.0,,
