student_id,activity_name,session_date,session_type,session_time,duration_hours,attendance_status,marked_by
1,Alumni Relations,2025-08-17,Project Work,15:00:00,4.0,Present,Club President
1,Alumni Relations,2025-08-10,Event,14:00:00,4.0,Present,Activity Head
1,Alumni Relations,2025-08-31,Workshop,18:00:00,4.0,Present,Activity Head
1,Alumni Relations,2025-08-20,Project Work,15:00:00,1.0,Present,Club President
1,Alumni Relations,2025-09-27,Project Work,18:00:00,2.0,Present,Activity Head
1,Alumni Relations,2025-09-01,Project Work,15:00:00,1.0,Absent,Activity Head
1,Alumni Relations,2025-09-17,Event,14:00:00,1.5,Present,Activity Head
1,Alumni Relations,2025-09-20,Event,16:00:00,1.0,Present,Activity Head
1,Alumni Relations,2025-10-05,Practice Session,18:00:00,1.0,Present,Activity Head
1,Alumni Relations,2025-10-19,Project Work,16:00:00,3.0,Present,Club President
1,Alumni Relations,2025-10-04,Training,15:00:00,1.0,Absent,Faculty Coord
1,Alumni Relations,2025-10-04,Practice Session,18:00:00,4.0,Present,Activity Head
1,Alumni Relations,2025-11-17,Practice Session,16:00:00,4.0,Present,Club President
1,Alumni Relations,2025-11-02,Event,16:00:00,2.0,Absent,Faculty Coord
1,Alumni Relations,2025-11-28,Project Work,16:00:00,2.5,Absent,Club President
1,Alumni Relations,2025-11-10,Workshop,18:00:00,1.5,Present,Club President
1,Badminton Club,2025-08-22,Competition,14:00:00,4.0,Present,Activity Head
1,Badminton Club,2025-08-15,Practice Session,14:00:00,4.0,Present,Faculty Coord
1,Badminton Club,2025-08-31,Event,15:00:00,2.5,Absent,Faculty Coord
1,Badminton Club,2025-08-18,Practice Session,15:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-08-12,Event,14:00:00,2.0,Present,Faculty Coord
1,Badminton Club,2025-08-18,Training,17:00:00,2.5,Present,Club President
1,Badminton Club,2025-08-30,Practice Session,15:00:00,4.0,Present,Club President
1,Badminton Club,2025-08-02,Practice Session,16:00:00,4.0,Present,Faculty Coord
1,Badminton Club,2025-08-15,Competition,16:00:00,3.0,Present,Club President
1,Badminton Club,2025-08-26,Practice Session,14:00:00,2.0,Present,Faculty Coord
1,Badminton Club,2025-08-05,Competition,17:00:00,4.0,Absent,Faculty Coord
1,Badminton Club,2025-08-08,Regular Meeting,16:00:00,3.0,Present,Activity Head
1,Badminton Club,2025-08-21,Competition,14:00:00,2.0,Present,Faculty Coord
1,Badminton Club,2025-08-26,Project Work,15:00:00,1.5,Present,Club President
1,Badminton Club,2025-09-19,Competition,18:00:00,3.0,Present,Club President
1,Badminton Club,2025-09-14,Training,16:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-08-31,Regular Meeting,18:00:00,1.0,Present,Activity Head
1,Badminton Club,2025-09-04,Project Work,18:00:00,1.0,Present,Activity Head
1,Badminton Club,2025-09-30,Event,18:00:00,2.5,Present,Faculty Coord
1,Badminton Club,2025-09-20,Training,17:00:00,3.0,Absent,Faculty Coord
1,Badminton Club,2025-09-19,Competition,18:00:00,2.5,Present,Activity Head
1,Badminton Club,2025-09-25,Event,17:00:00,2.0,Present,Club President
1,Badminton Club,2025-09-12,Training,14:00:00,3.0,Absent,Club President
1,Badminton Club,2025-09-04,Project Work,18:00:00,1.0,Absent,Club President
1,Badminton Club,2025-09-17,Event,18:00:00,2.0,Present,Faculty Coord
1,Badminton Club,2025-09-14,Practice Session,17:00:00,2.0,Present,Activity Head
1,Badminton Club,2025-09-16,Competition,16:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-09-05,Practice Session,16:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-10-15,Practice Session,14:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-10-22,Project Work,17:00:00,2.5,Present,Activity Head
1,Badminton Club,2025-10-24,Competition,15:00:00,1.0,Present,Faculty Coord
1,Badminton Club,2025-10-10,Event,17:00:00,2.0,Present,Club President
1,Badminton Club,2025-10-16,Training,15:00:00,3.0,Present,Club President
1,Badminton Club,2025-10-10,Practice Session,16:00:00,2.0,Present,Activity Head
1,Badminton Club,2025-10-03,Competition,17:00:00,1.5,Present,Activity Head
1,Badminton Club,2025-10-16,Training,17:00:00,1.0,Present,Activity Head
1,Badminton Club,2025-10-03,Project Work,14:00:00,2.0,Present,Faculty Coord
1,Badminton Club,2025-10-05,Regular Meeting,14:00:00,1.0,Present,Club President
1,Badminton Club,2025-10-17,Project Work,17:00:00,2.5,Present,Activity Head
1,Badminton Club,2025-10-30,Workshop,15:00:00,4.0,Absent,Club President
1,Badminton Club,2025-10-30,Regular Meeting,14:00:00,3.0,Present,Club President
1,Badminton Club,2025-10-22,Competition,18:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-11-17,Event,15:00:00,1.5,Absent,Faculty Coord
1,Badminton Club,2025-11-22,Event,15:00:00,1.0,Present,Club President
1,Badminton Club,2025-11-18,Training,15:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-11-12,Event,15:00:00,4.0,Present,Club President
1,Badminton Club,2025-11-10,Workshop,17:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-11-03,Project Work,16:00:00,2.0,Absent,Club President
1,Badminton Club,2025-11-26,Project Work,17:00:00,4.0,Present,Activity Head
1,Badminton Club,2025-11-17,Competition,14:00:00,3.0,Present,Club President
1,Badminton Club,2025-11-06,Regular Meeting,14:00:00,3.0,Absent,Activity Head
1,Badminton Club,2025-11-28,Competition,17:00:00,2.5,Present,Club President
1,Badminton Club,2025-11-05,Training,15:00:00,4.0,Present,Activity Head
1,Badminton Club,2025-11-18,Competition,14:00:00,1.5,Present,Faculty Coord
1,Badminton Club,2025-11-24,Project Work,17:00:00,4.0,Present,Activity Head
1,Badminton Club,2025-11-01,Training,18:00:00,2.0,Present,Club President
2,Innovation Club,2025-08-16,Workshop,17:00:00,2.5,Absent,Activity Head
2,Innovation Club,2025-08-16,Competition,16:00:00,3.0,Present,Activity Head
2,Innovation Club,2025-08-10,Competition,16:00:00,4.0,Present,Activity Head
2,Innovation Club,2025-08-17,Event,15:00:00,2.5,Present,Activity Head
2,Innovation Club,2025-09-14,Competition,14:00:00,4.0,Present,Activity Head
2,Innovation Club,2025-09-19,Training,16:00:00,3.0,Absent,Club President
2,Innovation Club,2025-09-08,Training,18:00:00,2.5,Absent,Faculty Coord
2,Innovation Club,2025-09-03,Competition,15:00:00,4.0,Absent,Club President
2,Innovation Club,2025-10-11,Event,16:00:00,1.0,Present,Activity Head
2,Innovation Club,2025-10-13,Training,15:00:00,3.0,Present,Activity Head
2,Innovation Club,2025-10-08,Practice Session,14:00:00,3.0,Present,Faculty Coord
2,Innovation Club,2025-10-10,Regular Meeting,16:00:00,4.0,Present,Club President
2,Innovation Club,2025-11-14,Training,18:00:00,2.0,Present,Activity Head
2,Innovation Club,2025-11-29,Project Work,16:00:00,3.0,Present,Club President
2,Innovation Club,2025-11-02,Practice Session,18:00:00,2.0,Present,Faculty Coord
2,Innovation Club,2025-11-06,Project Work,16:00:00,2.0,Present,Activity Head
2,Chess Club,2025-08-19,Regular Meeting,14:00:00,4.0,Present,Club President
2,Chess Club,2025-08-19,Training,17:00:00,1.5,Absent,Club President
2,Chess Club,2025-08-28,Competition,14:00:00,1.0,Present,Club President
2,Chess Club,2025-08-16,Regular Meeting,14:00:00,2.0,Present,Activity Head
2,Chess Club,2025-08-05,Practice Session,14:00:00,2.0,Present,Activity Head
2,Chess Club,2025-08-05,Practice Session,15:00:00,4.0,Absent,Club President
2,Chess Club,2025-08-25,Training,18:00:00,2.5,Present,Activity Head
2,Chess Club,2025-08-26,Workshop,15:00:00,3.0,Present,Faculty Coord
2,Chess Club,2025-08-21,Project Work,15:00:00,1.5,Absent,Activity Head
2,Chess Club,2025-08-21,Event,16:00:00,2.0,Present,Activity Head
2,Chess Club,2025-08-19,Practice Session,16:00:00,4.0,Present,Activity Head
2,Chess Club,2025-08-31,Event,18:00:00,2.5,Present,Club President
2,Chess Club,2025-08-12,Workshop,15:00:00,1.5,Present,Activity Head
2,Chess Club,2025-08-07,Practice Session,14:00:00,1.0,Present,Faculty Coord
2,Chess Club,2025-09-17,Workshop,16:00:00,1.5,Present,Activity Head
2,Chess Club,2025-09-13,Workshop,15:00:00,4.0,Present,Activity Head
2,Chess Club,2025-09-24,Project Work,16:00:00,3.0,Present,Club President
2,Chess Club,2025-09-19,Practice Session,15:00:00,3.0,Present,Activity Head
2,Chess Club,2025-09-18,Event,16:00:00,2.0,Present,Faculty Coord
2,Chess Club,2025-09-24,Training,18:00:00,2.0,Present,Activity Head
2,Chess Club,2025-09-09,Competition,14:00:00,2.5,Present,Faculty Coord
2,Chess Club,2025-09-30,Training,15:00:00,4.0,Present,Club President
2,Chess Club,2025-09-19,Practice Session,14:00:00,4.0,Absent,Faculty Coord
