student_id,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status
1,8.45,8.23,8.32,Stable,20,19,120,117,97.5,7.93,44,82.33,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
2,8.43,8.36,8.39,Stable,24,23,72,71,98.61,7.76,44,83.43,Low,2025-08-03,7,Late,1,0,1,3,0,0,Good,No
3,8.24,8.31,8.28,Stable,24,23,120,115,95.83,8.64,44,65.64,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
4,8.21,7.01,7.49,Improving,18,16,126,113,89.68,7.46,36,88.65,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
5,8.47,8.62,8.56,Stable,18,17,108,105,97.22,8.52,38,73.62,Low,2025-07-28,1,On Time,0,0,0,6,0,0,Excellent,No
6,4.64,5.56,5.19,Declining,20,14,80,59,73.75,5.48,42,77.65,Low,2025-07-28,1,On Time,0,0,0,4,1,1,Below Average,No
7,6.94,7.09,7.03,Stable,18,16,90,80,88.89,6.11,40,73.22,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
8,8.29,7.06,7.55,Improving,22,18,132,109,82.58,6.86,44,80.67,Low,2025-07-28,1,On Time,0,0,0,6,1,1,Good,No
9,5.78,5.5,5.61,Stable,24,20,96,80,83.33,5.65,42,74.21,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
10,8.26,8.19,8.22,Stable,24,23,144,138,95.83,7.89,38,94.92,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
11,7.78,7.88,7.84,Stable,22,19,154,136,88.31,7.59,36,85.13,Low,2025-07-28,1,On Time,0,1,1,7,0,0,Good,No
12,7.55,6.81,7.11,Improving,22,20,154,141,91.56,7.14,42,78.62,Low,2025-07-27,0,On Time,0,1,1,7,0,0,Good,No
13,5.52,5.4,5.45,Stable,24,14,120,73,60.83,4.66,38,90.08,Low,2025-07-27,0,On Time,0,0,0,5,2,2,Below Average,No
14,6.55,7.17,6.92,Declining,18,17,72,68,94.44,7.1,36,94.83,Low,2025-07-29,2,On Time,1,0,1,4,1,0,Average,No
15,6.97,5.79,6.26,Improving,22,20,132,123,93.18,6.22,38,69.41,Low,2025-07-29,2,On Time,1,0,1,6,1,1,Average,No
16,7.4,7.14,7.24,Stable,24,21,168,147,87.5,7.72,36,94.41,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
17,8.81,7.6,8.08,Improving,24,23,72,70,97.22,7.11,42,65.99,Low,2025-07-28,1,On Time,1,0,1,3,0,0,Good,No
18,5.83,6.79,6.41,Declining,22,18,154,130,84.42,6.25,36,73.13,Low,2025-07-28,1,On Time,0,0,0,7,1,1,Average,No
19,5.08,4.81,4.92,Stable,18,11,54,35,64.81,4.11,38,83.11,Low,2025-07-27,0,On Time,2,0,2,3,3,2,Below Average,Yes
