student_id,subject,exam_type,max_marks,obtained_marks,percentage,exam_date,evaluator
1,Mathematics,Unit Test 1,20,12.85,64.24,2025-09-15,Prof. Kumar
1,Mathematics,Unit Test 2,20,8.91,44.53,2025-10-20,Prof. Singh
1,Mathematics,Mid Semester,30,12.1,40.34,2025-11-10,Prof. Singh
1,Mathematics,Assignment 1,10,2.11,21.14,2025-09-30,Prof. Kumar
1,Mathematics,Assignment 2,10,6.61,66.08,2025-10-30,Prof. Gupta
1,Mathematics,Lab Internal,10,7.24,72.44,2025-11-20,Prof. Gupta
1,Physics,Unit Test 1,20,7.08,35.39,2025-09-15,Prof. Kumar
1,Physics,Unit Test 2,20,8.33,41.63,2025-10-20,Prof. Gupta
1,Physics,Mid Semester,30,15.84,52.8,2025-11-10,Prof. Singh
1,Physics,Assignment 1,10,7.0,69.98,2025-09-30,Prof. Gupta
1,Physics,Assignment 2,10,6.44,64.37,2025-10-30,Prof. Singh
1,Physics,Lab Internal,10,5.23,52.26,2025-11-20,Prof. Gupta
1,Chemistry,Unit Test 1,20,6.45,32.23,2025-09-15,Prof. Gupta
1,Chemistry,Unit Test 2,20,10.69,53.45,2025-10-20,Prof. Kumar
1,Chemistry,Mid Semester,30,13.37,44.57,2025-11-10,Prof. Gupta
1,Chemistry,Assignment 1,10,6.86,68.57,2025-09-30,Prof. Gupta
1,Chemistry,Assignment 2,10,3.97,39.65,2025-10-30,Prof. Gupta
1,Chemistry,Lab Internal,10,3.5,35.03,2025-11-20,Prof. Kumar
1,Computer Science,Unit Test 1,20,8.65,43.27,2025-09-15,Prof. Singh
1,Computer Science,Unit Test 2,20,8.81,44.03,2025-10-20,Prof. Kumar
1,Computer Science,Mid Semester,30,15.49,51.63,2025-11-10,Prof. Kumar
1,Computer Science,Assignment 1,10,5.19,51.9,2025-09-30,Prof. Gupta
1,Computer Science,Assignment 2,10,4.69,46.94,2025-10-30,Prof. Kumar
1,Computer Science,Lab Internal,10,8.38,83.82,2025-11-20,Prof. Singh
1,Electronics,Unit Test 1,20,10.1,50.49,2025-09-15,Prof. Singh
1,Electronics,Unit Test 2,20,10.89,54.44,2025-10-20,Prof. Gupta
1,Electronics,Mid Semester,30,16.83,56.11,2025-11-10,Prof. Kumar
1,Electronics,Assignment 1,10,7.44,74.41,2025-09-30,Prof. Singh
1,Electronics,Assignment 2,10,4.19,41.95,2025-10-30,Prof. Singh
1,Electronics,Lab Internal,10,4.31,43.13,2025-11-20,Prof. Kumar
1,Mechanical Engineering,Unit Test 1,20,10.87,54.37,2025-09-15,Prof. Kumar
1,Mechanical Engineering,Unit Test 2,20,12.32,61.62,2025-10-20,Prof. Singh
1,Mechanical Engineering,Mid Semester,30,8.77,29.22,2025-11-10,Prof. Kumar
1,Mechanical Engineering,Assignment 1,10,6.11,61.12,2025-09-30,Prof. Gupta
1,Mechanical Engineering,Assignment 2,10,5.4,53.98,2025-10-30,Prof. Gupta
1,Mechanical Engineering,Lab Internal,10,4.32,43.16,2025-11-20,Prof. Singh
2,Mathematics,Unit Test 1,20,10.5,52.5,2025-09-15,Prof. Singh
