student_id,assignment_name,assigned_date,due_date,submitted,submission_date,status,grade,feedback
1,Assignment 1 - Subject A,2025-09-15,2025-09-30,No,,Not Submitted,,
1,Assignment 2 - Subject B,2025-10-01,2025-10-15,No,,Not Submitted,,
1,Assignment 3 - Subject C,2025-10-20,2025-11-05,Yes,2025-11-08,Late,B,Good work
1,Assignment 4 - Subject D,2025-11-10,2025-11-25,Yes,2025-11-30,Late,C,Needs improvement
1,Project Proposal,2025-09-20,2025-10-10,Yes,2025-10-07,On Time,C,Needs improvement
1,Lab Report 1,2025-10-05,2025-10-20,Yes,2025-10-25,Late,A,Good work
1,Lab Report 2,2025-11-01,2025-11-15,Yes,2025-11-13,On Time,B,Good work
1,Case Study,2025-11-15,2025-11-30,No,,Not Submitted,,
2,Assignment 1 - Subject A,2025-09-15,2025-09-30,Yes,2025-09-28,On Time,A,Good work
2,Assignment 2 - Subject B,2025-10-01,2025-10-15,Yes,2025-10-12,On Time,D,Needs improvement
2,Assignment 3 - Subject C,2025-10-20,2025-11-05,No,,Not Submitted,,
2,Assignment 4 - Subject D,2025-11-10,2025-11-25,Yes,2025-11-29,Late,B,Good work
2,Project Proposal,2025-09-20,2025-10-10,Yes,2025-10-09,On Time,C,Needs improvement
2,Lab Report 1,2025-10-05,2025-10-20,Yes,2025-10-21,Late,B,Good work
2,Lab Report 2,2025-11-01,2025-11-15,No,,Not Submitted,,
2,Case Study,2025-11-15,2025-11-30,Yes,2025-11-30,On Time,C,Needs improvement
3,Assignment 1 - Subject A,2025-09-15,2025-09-30,Yes,2025-09-29,On Time,A,Good work
3,Assignment 2 - Subject B,2025-10-01,2025-10-15,Yes,2025-10-12,On Time,D,Needs improvement
3,Assignment 3 - Subject C,2025-10-20,2025-11-05,Yes,2025-11-02,On Time,B,Good work
3,Assignment 4 - Subject D,2025-11-10,2025-11-25,Yes,2025-11-23,On Time,B,Good work
3,Project Proposal,2025-09-20,2025-10-10,No,,Not Submitted,,
3,Lab Report 1,2025-10-05,2025-10-20,Yes,2025-10-24,Late,A,Good work
3,Lab Report 2,2025-11-01,2025-11-15,Yes,2025-11-18,Late,B,Good work
3,Case Study,2025-11-15,2025-11-30,Yes,2025-11-28,On Time,A,Good work
4,Assignment 1 - Subject A,2025-09-15,2025-09-30,Yes,2025-10-03,Late,B,Good work
4,Assignment 2 - Subject B,2025-10-01,2025-10-15,Yes,2025-10-12,On Time,C,Needs improvement
4,Assignment 3 - Subject C,2025-10-20,2025-11-05,No,,Not Submitted,,
4,Assignment 4 - Subject D,2025-11-10,2025-11-25,Yes,2025-11-25,On Time,B,Good work
4,Project Proposal,2025-09-20,2025-10-10,Yes,2025-10-09,On Time,D,Needs improvement
4,Lab Report 1,2025-10-05,2025-10-20,Yes,2025-10-20,On Time,A,Good work
4,Lab Report 2,2025-11-01,2025-11-15,No,,Not Submitted,,
4,Case Study,2025-11-15,2025-11-30,Yes,2025-11-27,On Time,B,Good work
5,Assignment 1 - Subject A,2025-09-15,2025-09-30,Yes,2025-10-02,Late,A,Good work
5,Assignment 2 - Subject B,2025-10-01,2025-10-15,Yes,2025-10-13,On Time,C,Needs improvement
5,Assignment 3 - Subject C,2025-10-20,2025-11-05,No,,Not Submitted,,
5,Assignment 4 - Subject D,2025-11-10,2025-11-25,Yes,2025-11-23,On Time,B,Good work
5,Project Proposal,2025-09-20,2025-10-10,Yes,2025-10-08,On Time,A,Good work
5,Lab Report 1,2025-10-05,2025-10-20,Yes,2025-10-18,On Time,C,Needs improvement
5,Lab Report 2,2025-11-01,2025-11-15,No,,Not Submitted,,
