student_id,visit_date,activity,book_title,duration_hours,checkout_date,return_date
409,2025-10-22,Reading Session,,2.0,,
409,2025-10-09,Book Returned,Introduction to Algorithms,,,2025-10-20
409,2025-10-20,Book Borrowed,Computer Networks,,2025-10-20,
409,2025-10-28,Book Returned,Database Management Systems,,,2025-11-08
409,2025-09-04,Book Returned,Operating Systems,,,2025-09-15
409,2025-10-05,Book Borrowed,Data Structures and Algorithms,,2025-10-05,
409,2025-09-16,Reading Session,,1.0,,
409,2025-09-03,Reading Session,,4.0,,
409,2025-08-29,Book Borrowed,Introduction to Algorithms,,2025-08-29,
409,2025-11-22,Book Returned,Advanced Mathematics,,,2025-12-06
409,2025-10-24,Reading Session,,1.0,,
409,2025-11-12,Reading Session,,2.0,,
409,2025-09-27,Reading Session,,3.0,,
409,2025-09-27,Reading Session,,3.0,,
409,2025-10-16,Book Returned,Operating Systems,,,2025-10-30
967,2025-10-02,Book Borrowed,Machine Learning,,2025-10-02,
967,2025-10-21,Reading Session,,3.0,,
967,2025-11-07,Book Returned,Physics Vol 1,,,2025-11-18
967,2025-10-18,Book Returned,Advanced Mathematics,,,2025-10-29
967,2025-09-01,Book Returned,Chemistry Fundamentals,,,2025-09-09
815,2025-11-11,Book Returned,Advanced Mathematics,,,2025-11-22
815,2025-11-14,Book Returned,Advanced Mathematics,,,2025-11-26
815,2025-09-26,Book Borrowed,Physics Vol 1,,2025-09-26,
815,2025-11-12,Reading Session,,1.0,,
815,2025-10-28,Book Borrowed,Database Management Systems,,2025-10-28,
815,2025-11-11,Reading Session,,3.0,,
815,2025-10-02,Book Borrowed,Software Engineering,,2025-10-02,
815,2025-10-20,Book Borrowed,Database Management Systems,,2025-10-20,
569,2025-09-08,Reading Session,,3.0,,
569,2025-11-07,Book Borrowed,Computer Networks,,2025-11-07,
569,2025-09-16,Book Borrowed,Computer Networks,,2025-09-16,
569,2025-11-19,Book Borrowed,Chemistry Fundamentals,,2025-11-19,
569,2025-09-28,Reading Session,,1.0,,
